-1.419,-2.707,6.215,6.622,-1.084,4.665,0
0.554,-3.323,5.824,7.555,-0.183,3.970,0
0.682,-3.042,6.153,6.682,-0.871,4.583,0
2.914,-3.114,6.417,7.309,-0.818,4.449,0
0.801,-1.810,6.021,6.898,0.446,4.063,0
0.277,-1.414,6.463,6.016,-0.543,5.060,0
0.393,-2.792,6.182,7.016,-0.226,4.339,0
0.757,-3.512,6.847,7.372,-0.268,4.424,0
2.083,-3.213,6.863,7.295,-0.667,5.006,0
0.198,-3.206,6.510,7.582,-0.385,4.156,0
2.792,-7.579,6.723,8.905,-1.093,4.213,1
1.649,-7.807,6.716,8.548,-1.838,4.648,1
1.646,-7.267,5.939,8.566,-0.932,4.272,1
2.177,-6.999,6.389,8.311,-1.561,4.342,1
2.041,-7.181,6.062,7.948,-1.153,3.946,1
1.584,-7.401,6.921,8.397,-1.332,4.635,1
1.074,-7.396,7.252,8.343,-1.347,5.090,1
2.166,-7.576,6.318,8.251,-1.451,4.646,1
2.234,-6.959,6.912,8.197,-0.851,4.844,1
2.897,-7.759,6.718,9.012,-0.869,4.235,1
0.467,-11.061,3.741,7.321,-2.805,3.750,2
0.889,-9.665,3.876,6.903,-2.916,3.840,2
1.420,-8.896,3.855,6.666,-2.800,3.821,2
0.420,-10.711,3.295,6.586,-3.199,3.691,2
-0.239,-11.003,2.783,7.193,-2.184,4.035,2
0.180,-10.265,2.963,6.809,-2.659,4.056,2
0.089,-11.060,3.009,6.581,-3.268,3.959,2
-0.540,-10.470,3.042,6.956,-2.509,4.586,2
-0.391,-10.836,2.886,6.982,-2.421,3.819,2
0.427,-10.280,3.508,7.062,-2.622,4.308,2
-5.625,-1.570,4.899,7.283,-0.357,4.079,3
-5.859,-1.964,4.123,6.630,-0.976,4.577,3
-5.497,-2.415,3.934,6.855,-0.956,4.278,3
-5.195,-2.286,4.076,5.917,-1.489,4.826,3
-5.087,-2.389,4.340,6.878,-0.566,4.446,3
-5.452,-2.302,4.537,6.478,-0.877,4.819,3
-5.374,-2.376,4.245,7.036,-0.768,4.308,3
-5.311,-2.147,4.455,6.522,-0.482,4.372,3
-5.591,-2.130,4.491,6.625,-0.941,4.922,3
-5.846,-0.935,4.145,6.260,-0.785,4.833,3
